Ano,Bandeira,Valor de Venda
2012,CIAPETRO,2.0235506003430532
2012,DIBRAPE,2.1304716981132077
2012,DISLUB,2.080209145427286
2012,EQUADOR,2.3129029435163084
2012,IDAZA,2.2622881844380403
2012,IPIRANGA,2.0961158466869536
2012,LARCO,1.8703518518518518
2012,PETROBAHIA,2.0149790897908977
2012,POTENCIAL,2.093957522123894
2012,RAIZEN,2.066350556438792
2012,RAIZEN MIME,2.099563025210084
2012,RIO BRANCO,2.0952577696526506
2012,ROYAL FIC,2.1508267716535436
2012,SABBÁ,2.1950573770491806
2012,SIMARELLI,2.3368050847457624
2012,SP,2.0930774800868934
2012,TAURUS,2.257858719646799
2012,WALENDOWSKY,2.1203317307692306
2013,ALESAT,2.317485194058457
2013,ATEM' S,2.4337256371814093
2013,BRANCA,2.2865642073475954
2013,CHARRUA,2.3386917647058825
2013,CIAPETRO,2.270046511627907
2013,DIBRAPE,2.398014084507042
2013,DISLUB,2.294017432646593
2013,EQUADOR,2.5220776092774306
2013,IDAZA,2.4735817174515233
2013,IPIRANGA,2.326470151255649
2013,LARCO,2.155943396226415
2013,PETROBAHIA,2.304967459324155
2013,POTENCIAL,2.316066129032258
2013,RAIZEN,2.299250826237412
2013,RAIZEN MIME,2.3442669432918395
2013,RIO BRANCO,2.3455202205882353
2013,ROYAL FIC,2.3954957264957266
2013,SABBÁ,2.4238099534342257
2013,SIMARELLI,2.581390143737166
2013,SP,2.3406730016769144
2013,TAURUS,2.5210410022779044
2013,WALENDOWSKY,2.353362676056338
2014,ALESAT,2.5113263871132703
2014,ATEM' S,2.6592189409368636
2014,BRANCA,2.4836888543600226
2014,CHARRUA,2.503040935672515
2014,CIAPETRO,2.4806555360281193
2014,DIBRAPE,2.553138888888889
2014,DISLUB,2.4658776290630975
2014,EQUADOR,2.7868089552238806
2014,IDAZA,2.6995635738831614
2014,IPIRANGA,2.5240217661020603
2014,LARCO,2.2966521739130434
2014,PETROBAHIA,2.495892234548336
2014,POTENCIAL,2.4847894736842107
2014,RAIZEN,2.495216636245111
2014,RAIZEN MIME,2.5371696
2014,RIO BRANCO,2.541978971962617
2014,ROYAL FIC,2.5860232558139535
2014,SABBÁ,2.681279836916234
2014,SIMARELLI,2.782068376068376
2014,SP,2.5424440509915014
2014,TAURUS,2.7273117206982547
2014,WALENDOWSKY,2.5602019230769235
2015,ALESAT,2.8184270900012804
2015,ATEM' S,3.0734174228675135
2015,BRANCA,2.7714116055996096
2015,CHARRUA,2.769255060728745
2015,CIAPETRO,2.7641261101243337
2015,DIBRAPE,2.8229555555555557
2015,DISLUB,2.749349295774648
2015,EQUADOR,3.118553235908142
2015,IDAZA,3.076160458452722
2015,IPIRANGA,2.824405876017233
2015,LARCO,2.6584285714285714
2015,PETROBAHIA,2.8040316455696206
2015,POTENCIAL,2.734088319088319
2015,RAIZEN,2.800883376115858
2015,RAIZEN MIME,2.7801964912280703
2015,RIO BRANCO,2.8361422018348623
2015,ROYAL FIC,2.6584285714285714
2015,SABBÁ,3.000721640488656
2015,SIMARELLI,3.127801724137931
2015,SP,2.8743162236480293
2015,TAURUS,3.054314903846154
2015,WALENDOWSKY,2.8100845070422533
2016,ALESAT,3.02804495441685
2016,ATEM' S,3.2705159151193635
2016,BRANCA,2.9706738095238094
2016,CHARRUA,2.938294
2016,CIAPETRO,2.9101130063965885
2016,DIBRAPE,2.9631666666666665
2016,DISLUB,3.0397816593886464
2016,EQUADOR,3.3454994640943196
2016,IDAZA,3.293897590361446
2016,IPIRANGA,3.038137359879538
2016,LARCO,2.898576923076923
2016,PETROBAHIA,3.0161909650924024
2016,POTENCIAL,2.921629411764706
2016,RAIZEN,2.98952340324683
2016,RAIZEN MIME,2.989686746987952
2016,RIO BRANCO,3.0162861952861952
2016,ROYAL FIC,3.166
2016,SABBÁ,3.2281002906976743
2016,SIMARELLI,3.4043821428571426
2016,SP,3.1295567986230637
2016,TAURUS,3.3004559471365638
2016,WALENDOWSKY,3.0003333333333333
2017,ALESAT,3.112575654450262
2017,ATEM' S,3.2663754993342207
2017,BRANCA,3.0429847801213272
2017,CHARRUA,3.0117264957264958
2017,CIAPETRO,2.9885775510204082
2017,DIBRAPE,2.836666666666667
2017,DISLUB,3.043695652173913
2017,EQUADOR,3.4409362068965517
2017,IDAZA,3.3803415841584155
2017,IPIRANGA,3.1250175801447773
2017,LARCO,2.8216944444444447
2017,PETROBAHIA,3.078936936936937
